Nr;Name;GI;PERIOD;VALUE;TY;ASDU;IOA;IV;NT;SB;BL;OV;CA;CY;SQNR;SE;QU;PC;DT;TY103;ASDU103;FUN;INF;SUB;SIN;RET;FAN;RII;IV103;OV103;ASC;FREE;PC103;DT103;STATION;FUNCTION;ADDRESS;QUANTITY
0;Модуль №1 "ВДС-32" В норме;True;True;1;30;1;2;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:19;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:19;1;1;0;1
0;Модуль №2 "ВДС-16/ВТУ-16" В норме;True;True;1;30;1;3;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:19;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:19;1;1;0;1
0;Модуль №3 "ВТИ-16" В норме;True;True;1;30;1;4;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:20;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:20;1;1;0;1
0;Кран № 388.7 открыт;True;True;1;30;1;33;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:20;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:20;1;1;0;1
0;Кран № 388.7 закрыт;True;True;1;30;1;34;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:20;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:20;1;1;0;1
0;Контроль цепей Крана № 388.7 соленоид открытия;True;True;1;30;1;35;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:20;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:20;1;1;0;1
0;Контроль цепей Крана № 388.7 соленоид закрытия;True;True;1;30;1;36;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:20;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:20;1;1;0;1
0;Кран № 2 открыт (Резерв);True;True;1;30;1;37;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:20;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:20;1;1;0;1
0;Кран № 2 закрыт (Резерв);True;True;1;30;1;38;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:20;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:20;1;1;0;1
0;Контроль цепей крана 2 соленоид открытия (Резерв);True;True;1;30;1;39;True;True;True;True;True;True;True;0;True;0;True;26.10.2021 15:35:20;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;26.10.2021 15:35:20;1;1;0;1
